LATITUDE,LONGITUDE
39.6438,-84.1743
41.6332,-83.579
35.6655,97.4977
43.6655,-79.4204
44.8978,75.1834
43.0649,-79.9359
36.59,-79.87
39.0339,-77.083
40.7023,80.2865
40.1065,75.1085
42.1292,80.0851
29.5826,-98.4091
36.1405,86.651
30.3561,103.6697
30.4571,97.6819
30.2259,97.7145
32.9993,-96.8346
27.6776,-97.3651
27.732,-97.3876
27.7988,-97.4363
32.7797,-96.8022
26.0505,-97.3131
33.1728,-95.2159
31.7583,-95.6366
29.5422,-95.3212
29.4698,-98.5357
30.3643,-97.6864
29.6709,-98.6849
29.4152,-98.4192
27.7541,-97.4363
29.4152,-98.4192
30.4014,97.7525
32.4501,-97.7293
29.4551,-98.6498
30.3643,-97.6864
35.4662,-97.5168
30.3643,-97.6864
29.8833,97.9414
37.5213,77.5734
47,-122
47.3395,122.2668
39.6295,79.9559
45.6966,-90.4027
41.6323,-80.1472
32.9616,-96.8107
32.8687,-96.8626
29.4411,-98.4936
40.2116,-85.4273
42.6758,-82.9121
29.4411,-98.4936
43.2318,-77.6607
29.0076,82.0206
39.1215,-86.5784
39.6598,-87.4225
49.2896,-122.5114
30.523,87.9033
35.2277,-92.3573
33.9384,94.3528
29.6825,-82.3606
39.8867,86.5433
39.1397,-86.5141
39.7801,-86.0557
19.4203,-99.1193
20.7055,102.3469
36.5795,-93.4549
46.0401,-66.3862
46.0401,-66.3862
40.7064,-73.9473
43.4078,-71.4123
39.2444,84.5327
40.8133,-81.4971
32.7797,-96.8022
76.4914,103.8812
43.6882,-79.4539
40.6691,-79.0139
30.3023,-97.6914
32.7797,-96.8022
32.7012,97.3355
29.5551,-98.7442
29.4551,-98.6498
29.58,-98.2753
31.8354,95.8389
30.2966,-95.8486
30.2972,-97.6391
33.0581,-97.5866
43.6171,-72.9636
41.7066,-72.5745
44.1879,-72.8249
38.3962,-92.6721
0,0
41.452,-81.6146
32.7052,-97.3351
32.7052,-97.3351
32.9247,-96.8917
32.9247,-96.8917
35.8538,-78.686
32.7052,-97.3351
49.2774,-122.7625
43.7321,-79.5096
49.2774,-122.7625
49.2663,-122.8739
49.2663,-122.8739
49.2774,-122.7625
49.2774,-122.7625
53.5534,-113.4982
49.2489,-122.7954
49.2774,-122.7625
49.2774,-122.7625
49.2663,-122.8739
32.8266,-96.7888
49.2489,-122.7954
49.2489,-122.7954
32.7052,-97.3351
49.2663,-122.8739
32.7052,-97.3351
32.8646,-96.7884
32.8646,-96.7884
49.2643,-123.0961
32.7012,97.3355
32.7555,97.3308
49.2663,-122.8739
49.2663,-122.8739
49.2663,-122.8739
49.2489,-122.7954
49.2663,-122.8739
49.2663,-122.8739
49.2774,-122.7625
49.2292,-122.9932
49.2663,-122.8739
49.2663,-122.8739
49.2774,-122.7625
49.2663,-122.8739
49.2663,-122.8739
49.2663,-122.8739
32.7767,96.797
35.1387,-90.0095
35.1841,-89.8588
34.7726,-92.3544
35.1841,-89.8588
35.9292,91.9429
35.0812,-92.4722
29.8991,-98.676
37.6811,-122.4806
41.2929,73.4887
41.281482,-73.4981792
34.1078,-84.5026
37.9967,88.9201
41.6956,87.8402
40.4591,-90.6805
41.72,87.748
41.72,87.748
41.779,-87.7789
41.6967,87.817
41.5658,87.8304
41.7088,87.7468
41.6979,87.817
41.6979,87.817
41.6979,87.817
41.6648,87.7911
41.6967,87.817
41.57,87.7862
41.8764,-87.6133
41.6091,87.7468
41.6967,87.817
41.6967,87.817
39.7256,86.0085
39.1406,-84.8688
35.2296,-80.843
42.9705,-78.7498
42.4895,-79.3311
42.1431,-76.0506
42.986,-77.4139
33.8895,-84.2921
41.7004,73.921
42.9074,-78.8197
41.452,-81.6146
44.2454,-76.5813
43.8113,-79.188
40.1676,-75.2074
40.5457,-80.0508
45.5883,72.9796
30.4014,97.7525
29.7339,-98.0697
32.9619,96.9961
30.6649,97.9225
30.5782,98.2729
29.4411,-98.4936
29.5359,-98.4943
29.6934,-98.4788
29.5826,-98.4091
30.3643,-97.6864
29.4411,-98.4936
29.4551,-98.6498
29.522,-98.5974
29.522,-98.5305
39.6884,105.0967
29.4421,98.4075
29.4213,-98.5313
40.2783,-111.7198
38.9302,77.3439
36.7969,-76.1797
38.8957,-77.0443
29.4698,-98.5357
41.6306,87.8255
39.1406,-84.8688
42.4942,70.9725
39.9175,75.1137
44.303308,-77.532534
43.0462,-79.3494
29.522,-98.5974
29.4411,-98.4936
39.7817,86.0451
29.4152,-98.4192
35.0812,-92.4722
35.0812,-92.4722
37.9689,-87.553
41.067,73.6183
41.2929,73.4887
41.70223,-87.8172
41.9703,-87.664
42.0342,-87.7568
41.7124,-87.7478
41.7124,-87.7478
41.7124,-87.7478
41.7124,-87.7478
39.1171,-85.783691
41.2437,-85.8528
35.80204,-78.93197
40.8527,-73.9383
40.7961,-73.9513
42.4307,-83.3051
31.3346,94.7321
29.4873,-98.4532
30.1306,99.5896
29.4411,-98.4936
29.4957,98.6491
32.3293,96.6253
36.8796,-94.8649
41.4286,90.461
39.9739,-75.1456
43.2262,-79.8621
42.9526,-78.895
40.7123,-74.0068
40.8416,73.8801
39.5378,-84.3895
42.396,-83.2351
41.6256,83.5656
41.6256,83.5656
43.7489,-79.4422
43.8483,-79.3349
43.6532,79.3832
43.4437,-79.7564
43.6763,-79.485
29.7646,-95.3657
43.6882,-79.4539
45.4738,-73.5875
43.4419,-80.4216
43.6763,-79.485
33.7485,-84.3871
43.7489,-79.4422
43.8503,-79.5128
42.2839,-82.9786
42.2137,-83.1064
43.7489,-79.4422
43.6906,-79.4812
43.6344,79.5085
43.8224,79.1859
43.6344,79.5085
43.6763,-79.485
43.6591,-79.4626
43.7489,-79.4422
43.6661,-79.8065
43.6591,-79.4626
42.2494,-82.9934
43.8224,79.1859
40.4792,80.6549
43.6591,-79.4626
43.8483,-79.3349
43.4419,-80.4216
43.8244,79.1859
45.4738,-73.5875
43.8483,-79.3349
43.8113,-79.188
45.4738,-73.5875
40.7123,-74.0068
39.9768,-75.256
39.9081,75.1954
39.9584,75.1954
39.9584,75.1954
39.9584,75.1954
39.9584,75.1954
39.9584,75.1954
39.9584,75.1954
39.9584,75.1954
28.6344,-81.6221
39.6685,-75.7048
39.9584,75.1954
39.9739,-75.1456
39.9668,-75.1512
39.934,-75.16
39.9739,-75.1456
39.9584,75.1954
39.934,-75.16
0,0
0,0
32.7534,96.8083
32.9993,-96.8346
32.8785,-96.7477
32.7797,-96.8022
49.2774,-122.7625
32.7012,97.3355
32.7012,97.3355
32.7012,97.3355
32.6477,97.3841
32.7012,97.3355
32.7012,97.3355
32.8687,-96.8626
49.2774,-122.7625
32.9247,-96.8917
29.4152,-98.4192
31.3346,94.7321
31.3346,94.7321
31.3346,94.7321
31.3346,94.7321
32.7797,-96.8022
32.7012,97.3355
32.7012,97.3355
32.7012,97.3355
35.8476,88.3367
32.7534,96.8083
32.9993,-96.8346
32.8008,-96.7884
32.8285,-97.0951
32.7012,97.3355
32.7012,97.3355
32.8046,-97.1937
32.8046,-97.1937
32.9993,-96.8346
34.7726,-92.3544
43.067,-87.9682
41.7697,-87.6985
39.9584,75.1954
32.9247,-96.8917
40.3177,-79.7223
53.9006,27.559
39.1406,-84.8688
49.8657,-97.0671
39.2062,76.9456
42.597,-83.3796
37.3866,-89.653
43.1444,-77.5057
40.9447,-84.2361
44.4006,-79.6676
40.2744,-76.7062
32.7797,-96.8022
31.3346,94.7321
31.3346,94.7321
29.4812,-98.3435
29.5418,-98.4212
29.5418,-98.4212
31.5924,97.0714
32.6574,-96.9079
32.8046,-97.1937
29.521,-98.362
38.5774,-90.6709
0,0
32.7052,-97.3351
32.7052,-97.3351
44.6615,-90.179
38.2634,-85.673
39.7801,-86.0557
41.1685,-82.2291
43.0461,-81.2436
39.7801,-86.0557
50.4788,-3.5446
49.2663,-122.8739
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
37.2754,-78.2815
49.2663,-122.8739
