LATITUDE,LONGITUDE
42.2903,-71.0798
43.5791,71.475
41.0095,-74.0079
43.0801,-77.6342
40.871,-73.051
39.85048,-75.4921
48.1151,-69.1606
45.5154,-73.5822
45.5403,-73.5955
29.3959,-98.4761
27.6776,-97.3651
27.6776,-97.3651
35.0781,-106.6583
27.8447,-97.5955
29.3959,-98.4761
32.7079,96.9209
32.7797,-96.8022
29.3763,-98.3884
29.4812,-98.3435
28.0314,-97.067
31.0736,-97.4727
30.6744,96.37
32.7797,-96.8022
43.9412,-72.6756
47.6631,-122.3029
47.4902,-122.3004
45.6435,-122.6247
29.4698,-98.5357
38.6249,-90.4496
35.8686,92.1178
33.7001,-111.8877
38.5492,-90.3837
39.6253,-104.7863
38.8155,-77.1205
24.5615,-81.7818
26.718,-80.0989
32.0371,81.1747
42.077,-87.7209
37.751,-97.822
41.85,-87.7165
40.1137,-85.7235
39.7801,-86.0557
39.7817,86.0451
39.1406,-84.8688
39.057,84.9013
39.1406,-84.8688
39.1406,-84.8688
39.1406,-84.8688
39.1406,-84.8688
